,评论id,评论者id,评论时间,评论者姓名,评论者IP归属地,评论者粉籍,评论内容,fan_cnt,like_cnt
1264,5063857945183156,5647215196,2024-08-05 03:54:39,于是抱着星星穿过抹茶海,来自福建,loyal_fans,宝宝 希望你天天开心,774,0
1265,5063857918181707,1891138164,2024-08-05 03:54:32,俊俊心上痣,来自湖北,loyal_fans,君君 ，你那个节目是有版权的，你不要被周深粉丝误导了是你的错，他们是觉得你当初没有在文案出标明出处，但是热度又非常搞，所以恨上了你，他们就是一群饭圈警察，要求你一个局外人必须遵守他们自己的法律！！！ 你不要为此内疚，他们偶像自己当缩头乌龟不敢说话，要你出面安抚粉丝，真不是个男人！！,508,0
1266,5063857917134462,7726133924,2024-08-05 03:54:32,亲亲河边草h,来自广东,loyal_fans,#陈丽君# 和主办方确认过版权的，陈丽君没有错,1,0
1267,5063857901666917,7925461549,2024-08-05 03:54:28,你是天空最亮星,来自广西,,支持《浮生一白》！,0,0
1268,5063857892491500,6589306697,2024-08-05 03:54:26,一枚星辰1,来自山西,loyal_fans,君君没有错,0,0
1269,5063857888560208,6358013247,2024-08-05 03:54:25,可能是aaa,来自河北,loyal_fans,宝贝别人的谩骂攻击只会让我陪你更久,14,0
1270,5063857888036644,7931173267,2024-08-05 03:54:25,用户7931173267,来自上海,loyal_fans,陈丽君你很棒，非常喜欢你的舞台表演,0,0
1271,5063857882005837,1653486837,2024-08-05 03:54:24,雨中花漫漫,来自澳大利亚,loyal_fans,君君唱的真好！宝宝你是最棒的,439,0
1272,5063857879647088,7341455491,2024-08-05 03:54:23,君如朗星追光同行,来自浙江,loyal_fans,宝宝，好好休息,5,0
1273,5063857876500707,5647215196,2024-08-05 03:54:22,于是抱着星星穿过抹茶海,来自福建,loyal_fans,宝宝呀你已经很棒很棒了,774,0
1274,5063857867850066,6298754696,2024-08-05 03:54:20,如月随宣-531ZY,来自广东,loyal_fans,姐姐你很棒👍🏻,225,0
1275,5063857863131218,6441833178,2024-08-05 03:54:19,呼呼不噜噜耶,来自山东,loyal_fans,宝宝超棒！！！巨巨巨巨好听！！,4,0
1276,5063857844256867,6621617811,2024-08-05 03:54:14,开个橙子吃吃吧,来自山东,loyal_fans,#陈丽君 浮生一白# 宝儿有格局你要早睡哦，不要理它们，有我们在,31,0
1277,5063857813062703,2881283653,2024-08-05 03:54:07,就要辣椒了,来自山东,loyal_fans,@陈丽君_点绛唇,2971,0
1278,5063857753555528,6611567703,2024-08-05 03:53:53,昼夜晓辰昏y,来自山东,loyal_fans,宝宝晚安 你也要早点休息,12,0
