,微博id,微博发布者,微博发布者id,微博发布者性别,微博发布时间,微博发布来源,微博发布IP归属地,微博简介,认证状态,认证理由,content,like_cnt,comment_cnt,repost_cnt,fan_cnt
394,5064903881130335,噜啦啦929噜啦啦,7871163048,f,2024-08-08 01:10:49,HUAWEI P40 5G,贵州,爱深深,False,,#陈丽君回复周深粉丝# 这ct带上了电影名，那我也不客气啦！ 《解密》听了吗？ 《解密》看了吗？ 先来听听同名主题曲《解密》吧 电影解密的微博视频,1,0,1,460
395,5064903886900531,曜_x魄,5787231512,f,2024-08-08 01:10:51,小米10S,河南,,False,,"#陈丽君回复周深粉丝#
《反深代词》《反深代词》《反深代词》
《反深代词》《反深代词》《反深代词》
《反深代词》《反深代词》《反深代词》
《反深代词》《反深代词》《反深代词》
《反深代词》《反深代词》《反深代词》
《反深代词》《反深代词》《反深代词》
《反深代词》《反深代词》《反深代词》
《反深代词》《反深代词》《反深代词》
《反深代词》《反深代词》《反深代词》
《反深代词》《反深代词》《反深代词》
《反深代词》《反深代词》《反深代词》
《反深代词》《反深代词》《反深代词》
《反深代词》《反深代词》《反深代词》
《反深代词》《反深代词》《反深代词》
《反深代词》《反深代词》《反深代词》
《反深代词》《反深代词》《反深代词》
《反深代词》《反深代词》《反深代词》
《反深代词》《反深代词》《反深代词》",23,0,0,14
396,5064903898171231,哎呀_叫啥名字好呢,2389266361,f,2024-08-08 01:10:53,Xiaomi 13,福建,__Be your own,False,,#陈丽君回复周深粉丝#同样的热搜来两次也是挺搞笑的的，哎，谁买谁糊穿！！！既然有坑位，宣传下周深二专反身代词吧，超好听的，还有10号11号南京演唱会哟,51,3,0,481
397,5064903945880110,执笔一溪云_yu,7567820609,f,2024-08-08 01:11:05,荣耀 Play4T Pro,河北,周深，音乐剧，沾点欧美，沾点点二次元 梦想是写作！要写下更多更多文字噢！,False,,#陈丽君回复周深粉丝# 咦？又上热搜啦？相遇就是有缘～推荐一个周深老师的神级现场《解密》首唱吧～～～,27,2,0,55
398,5064903981793538,放下随它去吧,3625715801,m,2024-08-08 01:11:12,荣耀70 5G,浙江,,False,,#陈丽君回复周深粉丝#陈丽君和陈丽君粉丝：《光亮》故宫系列总策划说这首歌是定下周深演唱后，再由周深去组局制作这首歌的，歌曲表达方向也是由周深定下的，他是参与这首歌曲的创作的。并且戏腔怎么用，用在什么地方都是他参与决定，没有周深就不会有这首《光亮》。而且版权，你看过合同吗？你们没看过合同怎知周深有没有？？？你们全平台大量造谣网暴周深。周深老师实惨@卡布叻_周深,29,1,0,54
399,5064904073547371,呼啦啦呀jie,6750575024,f,2024-08-08 01:11:35,真我Q2 双5G手机,广东,,False,,#陈丽君回复周深粉丝#白蛇什么玩意不好看，解密超级好看,9,1,0,1
400,5064904115750148,小念吃饱叻_,7459254767,f,2024-08-08 01:11:45,vivo X30 Pro专业影像,河北,我以渺小爱你 同行的旅程,True,微博原创视频博主,"#陈丽君回复周深粉丝# 哦莫 这原来是买来的热搜啊
总结事件脉络:【陈女士营销宣传将《光亮》里🔥出圈的京剧戏腔改名《定风波》，利用这个模糊原唱并营销是越剧选段，企图误导不明真相的人获取出圈机会，她粉丝至今还拒不认账，rsgj并造谣原唱】 且官方平台对该舞台已经删除了侵权的几句戏腔！均有视频为证，请陈丽君粉丝不要再rsgj原唱了。陈丽君@陈丽君_点绛唇 及其粉丝能不要偷换概念了吗，没人关心你翻唱和版权问题，陈丽君营销宣传将《光亮》里🔥出圈的京剧戏腔改名《定风波》，利用这个模糊原唱营销是越剧选段，企图误导不明真相的人获取出圈机会，陈丽君粉丝至今还拒不认账，rsgj并造谣原唱和原唱粉丝，现在还亲自下场引导粉丝撕逼 。",28,2,3,228
401,5064904155335297,J·Y烨,5866416830,f,2024-08-08 01:11:55,海盐国公主Android,福建,自由主义者,False,,#陈丽君回复周深粉丝#前几天的回复现在上rs…啊？没懂,136,29,1,266
402,5064904170015692,圈圈划重点,6252321704,m,2024-08-08 01:11:58,微博视频号,上海,周深，我没有墙头。  （拒绝微博教育家，请勿打扰）,True,超话粉丝大咖（周深超话） 微博剪辑视频博主,推荐大家看《解密》，电影看起来很有质感 周深给解密唱了同名主题曲《解密》 另外，陈丽君已就偷歌侵权事实道歉，她盗用的歌是周深的《光亮》。 建议陈丽君重修艺德，提高文化素养，尊重别人的作品 #陈丽君回复周深粉丝# 电影频道融媒体中心的微博视频,1545,69,71,2万
403,5064904339882657,只剩一个梦18078,5917112652,f,2024-08-08 01:12:39,iPhone客户端,内蒙古,一半洒落阴凉，一半沐浴阳光,False,,这个脂粉到底买了多少水啊？都拉黑了还给我推荐，既然如此我就再声明一下，光亮就叫光亮，不叫定风波，作曲是钱雷不是苏轼，苏轼写了定风波这个词但是他没有谱曲，陈丽君从始至终唱得就是光亮⚡#陈丽君 偷歌# 蒸煮已经道歉认错，粉丝也最好消停点，不要再造谣辱骂无辜的原唱歌手，陈丽君不管是有意还是无意，误导粉丝及路人认为光亮是她的定风波，既然认错了我们也就不计较了，不过吃了光亮的红利，粉丝就不要嘴硬，还到处发布不实信息，甚至要求原唱道歉了。答应我，不要再做跳梁小丑了好吗？跟这种油盐不进的粉丝吵架真的很降智#陈丽君回复周深粉丝#,227,20,3,6
404,5064904384448657,执笔一溪云_yu,7567820609,f,2024-08-08 01:12:49,荣耀 Play4T Pro,河北,周深，音乐剧，沾点欧美，沾点点二次元 梦想是写作！要写下更多更多文字噢！,False,,#陈丽君回复周深粉丝# 哎呀既然如此，欢迎大家来看《解密》！！ （谢谢一位才女的总结,91,11,13,55
405,5064904455750180,kikihahahala,5782261965,f,2024-08-08 01:13:06,荣耀100 写真相机,广东,爱记录生活的👸🏻,False,,#陈丽君回复周深粉丝#好恶心的周深粉。。。丝毫没有意识到自己已经构成了网暴行为。。。当局者迷旁观者清,205,19,1,76
406,5064904551694905,雨落卿尘1996,6765136173,f,2024-08-08 01:13:29,iQOO Z5 性能先锋,广东,,False,,#陈丽君回复周深粉丝#你也知道#周深献唱电影解密主题曲##周深唱云边有个小卖部主题曲# 啊，那快去看电影吧，我看了挺好看的,10,0,0,8
407,5064904625356811,只怪荧光太斑驳_,5714584826,f,2024-08-08 01:13:46,华为Mate30E Pro 5G,上海,人在蓬莱第三宫,False,,#陈丽君回复周深粉丝#饭圈真可怕，很多综艺节目也很不负责，君君真是人红是非多啊，加油啊君君！,7,1,0,782
408,5064904683817371,Angle颜浅浅,5890453167,f,2024-08-08 01:14:01,Redmi K40,四川,路要朝前走，人往未来看      正主：薛之谦  楼内：一代千玺，二代团偏126，三代苏新皓，四代陈浚铭杨博文 楼外属性：周深 鞠婧祎 院人,False,,#陈丽君回复周深粉丝#说实话我不知道怎么想的，周深这几年的作品谁看不出国家信任，根正苗红啊，刚有一丝关注度就要和这样的人吵，真的很希望姐姐给我们《解密》一下其中的原因#电影解密##周深献唱电影解密主题曲#,106,3,0,412
409,5064904686698527,秃八木-反深代词版,7403635008,f,2024-08-08 01:14:00,荣耀30 5G,山东,理想主义的花，最终会盛开浪漫主义的土壤里,False,,#陈丽君回复周深粉丝#既然如此，大家记得来看解密哦！！,11,1,0,187
410,5064904689582337,手可摘星陈oo,7466427635,m,2024-08-08 01:14:01,iPhone客户端,山东,我迟早会遇到你。,False,,#陈丽君回复周深粉丝#推荐大家去电影院看《解密》哦~周深同名片尾曲《解密》超震撼,7,0,0,14
411,5064904716060288,土豆小洋芋_-,7776571684,f,2024-08-08 01:14:08,iPhone客户端,云南,生米,False,,#陈丽君回复周深粉丝#不懂不懂，容我去看看《解密》,25,3,2,139
